,date,hits,keyword,geo,time,gprop,category,state,pct_diff
645,2024-09-03,6,Project 2025,US-WI,today 3-m,web,0,US-WI,200.0
646,2024-09-04,5,Project 2025,US-WI,today 3-m,web,0,US-WI,150.0
648,2024-09-06,5,Project 2025,US-WI,today 3-m,web,0,US-WI,150.0
649,2024-09-07,6,Project 2025,US-WI,today 3-m,web,0,US-WI,200.0
691,2024-10-19,5,Project 2025,US-WI,today 3-m,web,0,US-WI,150.0
692,2024-10-20,5,Project 2025,US-WI,today 3-m,web,0,US-WI,150.0
736,2024-09-02,8,Project 2025,US-MI,today 3-m,web,0,US-MI,166.66666666666666
737,2024-09-03,7,Project 2025,US-MI,today 3-m,web,0,US-MI,250.0
738,2024-09-04,5,Project 2025,US-MI,today 3-m,web,0,US-MI,150.0
739,2024-09-05,6,Project 2025,US-MI,today 3-m,web,0,US-MI,200.0
740,2024-09-06,5,Project 2025,US-MI,today 3-m,web,0,US-MI,150.0
741,2024-09-07,6,Project 2025,US-MI,today 3-m,web,0,US-MI,200.0
742,2024-09-08,5,Project 2025,US-MI,today 3-m,web,0,US-MI,150.0
743,2024-09-09,7,Project 2025,US-MI,today 3-m,web,0,US-MI,133.33333333333334
758,2024-09-24,8,Project 2025,US-MI,today 3-m,web,0,US-MI,166.66666666666666
763,2024-09-29,7,Project 2025,US-MI,today 3-m,web,0,US-MI,133.33333333333334
764,2024-09-30,7,Project 2025,US-MI,today 3-m,web,0,US-MI,133.33333333333334
830,2024-09-04,5,Project 2025,US-PA,today 3-m,web,0,US-PA,150.0
844,2024-09-18,7,Project 2025,US-PA,today 3-m,web,0,US-PA,133.33333333333334
856,2024-09-30,8,Project 2025,US-PA,today 3-m,web,0,US-PA,166.66666666666666
949,2024-10-01,10,Project 2025,US-NV,today 3-m,web,0,US-NV,233.33333333333334
1109,2024-09-07,5,Project 2025,US-NC,today 3-m,web,0,US-NC,150.0
1150,2024-10-18,5,Project 2025,US-NC,today 3-m,web,0,US-NC,150.0
1152,2024-10-20,5,Project 2025,US-NC,today 3-m,web,0,US-NC,150.0
1317,2024-10-01,7,transgender,US-WI,today 3-m,web,0,US-WI,133.33333333333334
1397,2024-09-19,5,transgender,US-MI,today 3-m,web,0,US-MI,150.0
1409,2024-10-01,8,transgender,US-MI,today 3-m,web,0,US-MI,166.66666666666666
1414,2024-10-06,8,transgender,US-MI,today 3-m,web,0,US-MI,166.66666666666666
1809,2024-11-02,7,transgender,US-NC,today 3-m,web,0,US-NC,133.33333333333334
1942,2024-09-12,3,tariff,US-WI,today 3-m,web,0,US-WI,200.0
1958,2024-09-28,4,tariff,US-WI,today 3-m,web,0,US-WI,300.0
1988,2024-10-28,7,tariff,US-WI,today 3-m,web,0,US-WI,250.0
2427,2024-10-07,4,tariff,US-NC,today 3-m,web,0,US-NC,300.0
2430,2024-10-10,3,tariff,US-NC,today 3-m,web,0,US-NC,200.0
2431,2024-10-11,3,tariff,US-NC,today 3-m,web,0,US-NC,200.0
2452,2024-11-01,3,tariff,US-NC,today 3-m,web,0,US-NC,200.0
2454,2024-11-03,3,tariff,US-NC,today 3-m,web,0,US-NC,200.0
2505,2024-09-23,3,tariff,US-GA,today 3-m,web,0,US-GA,200.0
2530,2024-10-18,3,tariff,US-GA,today 3-m,web,0,US-GA,200.0
2534,2024-10-22,3,tariff,US-GA,today 3-m,web,0,US-GA,200.0
2544,2024-11-01,3,tariff,US-GA,today 3-m,web,0,US-GA,200.0
2647,2024-11-12,23,abortion,US-WI,today 3-m,web,0,US-WI,109.0909090909091
2648,2024-11-13,21,abortion,US-WI,today 3-m,web,0,US-WI,110.0
2649,2024-11-14,19,abortion,US-WI,today 3-m,web,0,US-WI,111.11111111111111
3143,2024-09-17,18,abortion,US-GA,today 3-m,web,0,US-GA,125.0
3156,2024-09-30,21,abortion,US-GA,today 3-m,web,0,US-GA,162.5
3157,2024-10-01,24,abortion,US-GA,today 3-m,web,0,US-GA,200.0
