"date","hits","keyword","geo","time","gprop","category"
2024-09-02,"0","migrant crime","US","today 3-m","web",0
2024-09-03,"<1","migrant crime","US","today 3-m","web",0
2024-09-04,"<1","migrant crime","US","today 3-m","web",0
2024-09-05,"0","migrant crime","US","today 3-m","web",0
2024-09-06,"<1","migrant crime","US","today 3-m","web",0
2024-09-07,"0","migrant crime","US","today 3-m","web",0
2024-09-08,"0","migrant crime","US","today 3-m","web",0
2024-09-09,"0","migrant crime","US","today 3-m","web",0
2024-09-10,"<1","migrant crime","US","today 3-m","web",0
2024-09-11,"<1","migrant crime","US","today 3-m","web",0
2024-09-12,"<1","migrant crime","US","today 3-m","web",0
2024-09-13,"<1","migrant crime","US","today 3-m","web",0
2024-09-14,"<1","migrant crime","US","today 3-m","web",0
2024-09-15,"<1","migrant crime","US","today 3-m","web",0
2024-09-16,"<1","migrant crime","US","today 3-m","web",0
2024-09-17,"<1","migrant crime","US","today 3-m","web",0
2024-09-18,"0","migrant crime","US","today 3-m","web",0
2024-09-19,"<1","migrant crime","US","today 3-m","web",0
2024-09-20,"0","migrant crime","US","today 3-m","web",0
2024-09-21,"0","migrant crime","US","today 3-m","web",0
2024-09-22,"0","migrant crime","US","today 3-m","web",0
2024-09-23,"0","migrant crime","US","today 3-m","web",0
2024-09-24,"<1","migrant crime","US","today 3-m","web",0
2024-09-25,"0","migrant crime","US","today 3-m","web",0
2024-09-26,"0","migrant crime","US","today 3-m","web",0
2024-09-27,"<1","migrant crime","US","today 3-m","web",0
2024-09-28,"<1","migrant crime","US","today 3-m","web",0
2024-09-29,"<1","migrant crime","US","today 3-m","web",0
2024-09-30,"<1","migrant crime","US","today 3-m","web",0
2024-10-01,"<1","migrant crime","US","today 3-m","web",0
2024-10-02,"0","migrant crime","US","today 3-m","web",0
2024-10-03,"0","migrant crime","US","today 3-m","web",0
2024-10-04,"0","migrant crime","US","today 3-m","web",0
2024-10-05,"0","migrant crime","US","today 3-m","web",0
2024-10-06,"0","migrant crime","US","today 3-m","web",0
2024-10-07,"0","migrant crime","US","today 3-m","web",0
2024-10-08,"0","migrant crime","US","today 3-m","web",0
2024-10-09,"0","migrant crime","US","today 3-m","web",0
2024-10-10,"0","migrant crime","US","today 3-m","web",0
2024-10-11,"0","migrant crime","US","today 3-m","web",0
2024-10-12,"0","migrant crime","US","today 3-m","web",0
2024-10-13,"0","migrant crime","US","today 3-m","web",0
2024-10-14,"0","migrant crime","US","today 3-m","web",0
2024-10-15,"0","migrant crime","US","today 3-m","web",0
2024-10-16,"<1","migrant crime","US","today 3-m","web",0
2024-10-17,"0","migrant crime","US","today 3-m","web",0
2024-10-18,"0","migrant crime","US","today 3-m","web",0
2024-10-19,"0","migrant crime","US","today 3-m","web",0
2024-10-20,"0","migrant crime","US","today 3-m","web",0
2024-10-21,"0","migrant crime","US","today 3-m","web",0
2024-10-22,"0","migrant crime","US","today 3-m","web",0
2024-10-23,"0","migrant crime","US","today 3-m","web",0
2024-10-24,"0","migrant crime","US","today 3-m","web",0
2024-10-25,"0","migrant crime","US","today 3-m","web",0
2024-10-26,"<1","migrant crime","US","today 3-m","web",0
2024-10-27,"0","migrant crime","US","today 3-m","web",0
2024-10-28,"<1","migrant crime","US","today 3-m","web",0
2024-10-29,"<1","migrant crime","US","today 3-m","web",0
2024-10-30,"<1","migrant crime","US","today 3-m","web",0
2024-10-31,"0","migrant crime","US","today 3-m","web",0
2024-11-01,"0","migrant crime","US","today 3-m","web",0
2024-11-02,"0","migrant crime","US","today 3-m","web",0
2024-11-03,"0","migrant crime","US","today 3-m","web",0
2024-11-04,"<1","migrant crime","US","today 3-m","web",0
2024-11-05,"0","migrant crime","US","today 3-m","web",0
2024-11-06,"<1","migrant crime","US","today 3-m","web",0
2024-11-07,"0","migrant crime","US","today 3-m","web",0
2024-11-08,"<1","migrant crime","US","today 3-m","web",0
2024-11-09,"0","migrant crime","US","today 3-m","web",0
2024-11-10,"0","migrant crime","US","today 3-m","web",0
2024-11-11,"0","migrant crime","US","today 3-m","web",0
